State,Year,Projected Populations
Maryland,2008,5783344
Maryland,2009,5844175
Maryland,2010,5904970
Maryland,2011,5965771
Maryland,2012,6026667
Maryland,2013,6087491
Maryland,2014,6148131
Maryland,2015,6208392
Maryland,2016,6268046
Maryland,2017,6326990
Maryland,2018,6384972
Maryland,2019,6441889
Maryland,2020,6497626
Maryland,2021,6552328
Maryland,2022,6606198
Maryland,2023,6659221
Maryland,2024,6711375
Maryland,2025,6762732
Maryland,2026,6814171
Maryland,2027,6865707
Maryland,2028,6917455
Maryland,2029,6969602
Maryland,2030,7022251
Massachusetts,2004,6488615
Massachusetts,2005,6518868
Massachusetts,2006,6547882
Massachusetts,2007,6575260
Massachusetts,2008,6601235
Massachusetts,2009,6625910
Massachusetts,2010,6649441
Massachusetts,2011,6672213
Massachusetts,2012,6694497
Massachusetts,2013,6716305
Massachusetts,2014,6737663
Massachusetts,2015,6758580
Massachusetts,2016,6779024
Massachusetts,2017,6799016
Massachusetts,2018,6818537
Massachusetts,2019,6837397
Massachusetts,2020,6855546
Massachusetts,2021,6873128
Massachusetts,2022,6890339
Massachusetts,2023,6907115
Massachusetts,2024,6923257
Massachusetts,2025,6938636
Massachusetts,2026,6953819
Massachusetts,2027,6968792
Massachusetts,2028,6983551
Massachusetts,2029,6997904
Massachusetts,2030,7012009
Michigan,2004,10158867
Michigan,2005,10207421
Michigan,2006,10254919
Michigan,2007,10300770
Michigan,2008,10345033
Michigan,2009,10387724
Michigan,2010,10428683
Michigan,2011,10467470
Michigan,2012,10504167
Michigan,2013,10538487
Michigan,2014,10570208
Michigan,2015,10599122
Michigan,2016,10625075
Michigan,2017,10647852
Michigan,2018,10667356
Michigan,2019,10683432
Michigan,2020,10695993
Michigan,2021,10705348
Michigan,2022,10711744
Michigan,2023,10715229
Michigan,2024,10715859
Michigan,2025,10713730
Michigan,2026,10710956
Michigan,2027,10707608
Michigan,2028,10703630
Michigan,2029,10699075
Michigan,2030,10694172
Minnesota,2004,5126608
Minnesota,2005,5174743
Minnesota,2006,5223471
Minnesota,2007,5272397
Minnesota,2008,5321587
Minnesota,2009,5371036
Minnesota,2010,5420636
Minnesota,2011,5470382
Minnesota,2012,5520182
Minnesota,2013,5569829
Minnesota,2014,5619270
Minnesota,2015,5668211
Minnesota,2016,5716580
Minnesota,2017,5764136
Minnesota,2018,5810811
Minnesota,2019,5856391
Minnesota,2020,5900769
Minnesota,2021,5944197
Minnesota,2022,5986721
Minnesota,2023,6028284
Minnesota,2024,6068940
Minnesota,2025,6108787
Minnesota,2026,6148425
Minnesota,2027,6187877
Minnesota,2028,6227224
Minnesota,2029,6266653
Minnesota,2030,6306130
Mississippi,2004,2903196
Mississippi,2005,2915696
Mississippi,2006,2927857
Mississippi,2007,2939520
Mississippi,2008,2950652
Mississippi,2009,2961313
Mississippi,2010,2971412
Mississippi,2011,2981038
Mississippi,2012,2990221
Mississippi,2013,2998838
Mississippi,2014,3006893
Mississippi,2015,3014409
Mississippi,2016,3021422
Mississippi,2017,3027943
Mississippi,2018,3033918
Mississippi,2019,3039491
Mississippi,2020,3044812
Mississippi,2021,3049912
Mississippi,2022,3054907
Mississippi,2023,3059826
Mississippi,2024,3064645
Mississippi,2025,3069420
Mississippi,2026,3074137
Mississippi,2027,3078739
Mississippi,2028,3083360
Mississippi,2029,3087905
Mississippi,2030,3092410
Missouri,2004,5733240
Missouri,2005,5765166
Missouri,2006,5797176
Missouri,2007,5828894
Missouri,2008,5860326
Missouri,2009,5891421
Missouri,2010,5922078
Missouri,2011,5952408
Missouri,2012,5982482
Missouri,2013,6012096
Missouri,2014,6041117
Missouri,2015,6069556
Missouri,2016,6097239
Missouri,2017,6124161
Missouri,2018,6150240
Missouri,2019,6175464
Missouri,2020,6199882
Missouri,2021,6223645
Missouri,2022,6247117
Missouri,2023,6270151
Missouri,2024,6292890
Missouri,2025,6315366
Missouri,2026,6337968
Missouri,2027,6360641
Missouri,2028,6383548
Missouri,2029,6406706
Missouri,2030,6430173
Montana,2004,925739
Montana,2005,933005
Montana,2006,940249
Montana,2007,947474
Montana,2008,954653
Montana,2009,961691
Montana,2010,968598
Montana,2011,975263
Montana,2012,981733
Montana,2013,987918
Montana,2014,993847
Montana,2015,999489
Montana,2016,1004798
Montana,2017,1009805
Montana,2018,1014482
Montana,2019,1018788
Montana,2020,1022735
Montana,2021,1026314
Montana,2022,1029536
Montana,2023,1032468
Montana,2024,1035086
Montana,2025,1037387
Montana,2026,1039410
Montana,2027,1041119
Montana,2028,1042611
Montana,2029,1043847
Montana,2030,1044898
Nebraska,2004,1738973
Nebraska,2005,1744370
Nebraska,2006,1749744
Nebraska,2007,1754895
Nebraska,2008,1759829
Nebraska,2009,1764533
Nebraska,2010,1768997
Nebraska,2011,1773254
Nebraska,2012,1777346
Nebraska,2013,1781282
Nebraska,2014,1785004
Nebraska,2015,1788508
Nebraska,2016,1791808
Nebraska,2017,1794867
Nebraska,2018,1797687
Nebraska,2019,1800270
Nebraska,2020,1802678
Nebraska,2021,1804909
Nebraska,2022,1807022
Nebraska,2023,1809017
Nebraska,2024,1810951
Nebraska,2025,1812787
Nebraska,2026,1814576
Nebraska,2027,1816187
Nebraska,2028,1817664
Nebraska,2029,1819031
Nebraska,2030,1820247
Nevada,2004,2287735
Nevada,2005,2352086
Nevada,2006,2417645
Nevada,2007,2484229
Nevada,2008,2551889
Nevada,2009,2620688
Nevada,2010,2690531
Nevada,2011,2761512
Nevada,2012,2833751
Nevada,2013,2907321
Nevada,2014,2982168
Nevada,2015,3058190
Nevada,2016,3135270
Nevada,2017,3213364
Nevada,2018,3292272
Nevada,2019,3371938
Nevada,2020,3452283
Nevada,2021,3533242
Nevada,2022,3614974
Nevada,2023,3697316
Nevada,2024,3780129
Nevada,2025,3863298
Nevada,2026,3946723
Nevada,2027,4030363
Nevada,2028,4114119
Nevada,2029,4198048
Nevada,2030,4282102
New Hampshire,2004,1300732
New Hampshire,2005,1314821
New Hampshire,2006,1328967
New Hampshire,2007,1343079
New Hampshire,2008,1357216
New Hampshire,2009,1371386
New Hampshire,2010,1385560
